timestamp_ms,gyrox_deg,gyroy_deg,gyroz_deg,accelx_deg,accely_deg,compfilterx_deg,compfiltery_deg
10960.00,-0.366,1.074,0.190,-0.747,-0.388,-0.749,-0.302
10983.00,-0.369,1.077,0.190,-0.705,-0.249,-0.750,-0.298
11006.00,-0.366,1.079,0.190,-0.692,-0.457,-0.746,-0.300
11029.00,-0.366,1.079,0.187,-0.664,-0.415,-0.745,-0.302
11052.00,-0.366,1.081,0.190,-0.706,-0.471,-0.744,-0.303
11075.00,-0.368,1.087,0.188,-0.720,-0.416,-0.745,-0.300
11098.00,-0.368,1.093,0.190,-0.637,-0.443,-0.743,-0.297
11121.00,-0.369,1.096,0.190,-0.815,-0.456,-0.746,-0.297
11143.00,-0.370,1.097,0.188,-0.761,-0.387,-0.747,-0.298
11166.00,-0.372,1.100,0.190,-0.789,-0.443,-0.749,-0.298
11189.00,-0.369,1.101,0.191,-0.692,-0.415,-0.746,-0.299
11212.00,-0.369,1.104,0.192,-0.650,-0.387,-0.744,-0.298
11235.00,-0.368,1.105,0.190,-0.747,-0.498,-0.742,-0.301
11258.00,-0.369,1.111,0.187,-0.706,-0.443,-0.743,-0.298
11281.00,-0.372,1.115,0.188,-0.650,-0.429,-0.744,-0.296
11304.00,-0.372,1.118,0.191,-0.775,-0.415,-0.744,-0.296
11327.00,-0.372,1.121,0.190,-0.692,-0.485,-0.743,-0.297
11350.00,-0.375,1.122,0.188,-0.719,-0.484,-0.746,-0.299
11373.00,-0.379,1.128,0.188,-0.760,-0.470,-0.750,-0.297
11395.00,-0.376,1.130,0.191,-0.650,-0.443,-0.745,-0.298
11418.00,-0.378,1.135,0.191,-0.691,-0.470,-0.746,-0.297
11441.00,-0.376,1.137,0.192,-0.706,-0.443,-0.744,-0.297
11464.00,-0.376,1.135,0.195,-0.762,-0.429,-0.744,-0.303
11487.00,-0.376,1.133,0.198,-0.678,-0.429,-0.743,-0.306
11510.00,-0.376,1.137,0.199,-0.677,-0.497,-0.741,-0.306
11533.00,-0.378,1.142,0.199,-0.760,-0.484,-0.743,-0.306
11556.00,-0.376,1.146,0.199,-0.706,-0.443,-0.741,-0.304
11579.00,-0.378,1.149,0.199,-0.664,-0.429,-0.741,-0.304
11602.00,-0.378,1.151,0.198,-0.774,-0.456,-0.741,-0.304
11624.00,-0.379,1.154,0.197,-0.650,-0.387,-0.741,-0.303
11647.00,-0.380,1.158,0.197,-0.775,-0.374,-0.743,-0.301
11670.00,-0.380,1.160,0.199,-0.622,-0.456,-0.741,-0.302
11693.00,-0.379,1.163,0.204,-0.664,-0.429,-0.738,-0.302
11716.00,-0.382,1.164,0.204,-0.746,-0.414,-0.741,-0.303
11739.00,-0.383,1.167,0.205,-0.718,-0.401,-0.742,-0.302
11762.00,-0.383,1.170,0.205,-0.719,-0.443,-0.741,-0.302
11785.00,-0.386,1.174,0.202,-0.706,-0.457,-0.743,-0.301
11808.00,-0.387,1.177,0.204,-0.693,-0.471,-0.744,-0.302
11831.00,-0.392,1.181,0.205,-0.664,-0.456,-0.746,-0.301
11854.00,-0.393,1.185,0.205,-0.678,-0.470,-0.746,-0.300
11876.00,-0.392,1.184,0.205,-0.760,-0.580,-0.745,-0.307
11899.00,-0.390,1.182,0.206,-0.747,-0.429,-0.744,-0.311
11922.00,-0.393,1.187,0.205,-0.830,-0.346,-0.748,-0.307
11945.00,-0.393,1.187,0.199,-2.490,-0.895,-0.783,-0.319
11968.00,-0.382,1.181,0.164,-9.557,-3.226,-0.947,-0.383
11991.00,-0.330,1.139,0.046,-13.765,-5.119,-1.153,-0.519
12014.00,-0.310,1.171,-0.118,-9.579,-3.366,-1.302,-0.544
12037.00,-0.354,1.163,-0.302,1.918,-0.944,-1.280,-0.560
12060.00,-0.366,1.161,-0.493,-1.269,-1.194,-1.293,-0.574
12083.00,-0.400,1.189,-0.637,9.130,3.623,-1.117,-0.463
12106.00,-0.432,1.196,-0.806,-1.857,-1.414,-1.164,-0.475
12128.00,-0.447,1.233,-0.924,-1.037,0.013,-1.176,-0.430
12151.00,-0.408,1.199,-1.032,8.397,2.082,-0.946,-0.412
12174.00,-0.419,1.193,-1.105,2.009,-0.116,-0.897,-0.412
12197.00,-0.395,1.190,-1.136,4.271,1.762,-0.771,-0.371
12220.00,-0.413,1.202,-1.118,7.431,2.045,-0.625,-0.312
12243.00,-0.429,1.217,-1.069,0.700,-1.871,-0.613,-0.328
12266.00,-0.439,1.220,-1.046,-7.026,-1.495,-0.751,-0.349
12289.00,-0.439,1.220,-1.052,-4.953,-0.736,-0.835,-0.356
12312.00,-0.430,1.220,-1.066,-1.876,0.242,-0.848,-0.344
12335.00,-0.426,1.223,-1.081,1.477,-1.190,-0.797,-0.359
12357.00,-0.423,1.223,-1.078,3.381,-1.086,-0.711,-0.373
12380.00,-0.426,1.227,-1.066,0.193,-0.262,-0.696,-0.367
12403.00,-0.430,1.233,-1.053,-2.950,0.110,-0.745,-0.352
12426.00,-0.430,1.233,-1.056,-3.812,0.055,-0.806,-0.344
